word,freq_zipf,language,source,n_density,old20
aa,4.01,en,wordfreq,34,1.0
aaa,3.77,en,wordfreq,2,1.85
aaron,4.23,en,wordfreq,1,1.95
ab,4.06,en,wordfreq,22,1.0
abandon,4.02,en,wordfreq,0,3.0
abandoned,4.4,en,wordfreq,0,4.1
abbey,3.88,en,wordfreq,0,2.8
abbott,3.78,en,wordfreq,0,2.95
abc,4.24,en,wordfreq,5,1.6
aberdeen,3.81,en,wordfreq,0,3.9
abilities,4.21,en,wordfreq,0,3.55
ability,4.96,en,wordfreq,0,2.9
able,5.43,en,wordfreq,0,1.9
aboard,4.14,en,wordfreq,0,2.65
aboriginal,3.78,en,wordfreq,0,4.65
abortion,4.24,en,wordfreq,0,3.15
about,6.4,en,wordfreq,0,2.05
above,5.2,en,wordfreq,0,2.35
abraham,3.98,en,wordfreq,0,3.8
abroad,4.39,en,wordfreq,0,2.7
abs,3.86,en,wordfreq,6,1.5
absence,4.34,en,wordfreq,0,2.9
absent,3.98,en,wordfreq,0,2.7
absolute,4.54,en,wordfreq,0,3.85
absolutely,4.98,en,wordfreq,0,5.1
absorb,3.81,en,wordfreq,0,2.9
absorbed,3.92,en,wordfreq,0,3.65
abstract,4.14,en,wordfreq,0,3.65
absurd,3.95,en,wordfreq,0,2.8
abu,4.01,en,wordfreq,2,1.8
abundance,3.86,en,wordfreq,0,3.8
abundant,3.77,en,wordfreq,0,3.85
abuse,4.66,en,wordfreq,0,2.0
abused,4.0,en,wordfreq,0,2.6
abusive,3.87,en,wordfreq,0,3.35
ac,4.25,en,wordfreq,24,1.0
academic,4.57,en,wordfreq,0,4.05
academics,3.78,en,wordfreq,0,4.4
academy,4.57,en,wordfreq,0,3.75
accent,4.14,en,wordfreq,1,2.35
accept,4.85,en,wordfreq,1,2.65
acceptable,4.27,en,wordfreq,0,4.15
acceptance,4.16,en,wordfreq,0,4.25
accepted,4.67,en,wordfreq,0,3.05
accepting,4.18,en,wordfreq,0,3.4
