item,condition,prime,target,soa_ms
1,related,nurse,doctor,60
1,unrelated,window,doctor,60
2,related,dog,cat,250
2,unrelated,table,cat,250
3,related,queen,king,1200
3,unrelated,pencil,king,1200
4,related,butter,bread,60
4,unrelated,planet,bread,60
5,related,cold,hot,250
5,unrelated,paper,hot,250
6,related,white,black,1200
6,unrelated,river,black,1200
7,related,star,moon,60
7,unrelated,chair,moon,60
8,related,pepper,salt,250
8,unrelated,engine,salt,250
9,related,night,day,1200
9,unrelated,carpet,day,1200
10,related,foot,hand,60
10,unrelated,cloud,hand,60
11,related,south,north,250
11,unrelated,lemon,north,250
12,related,saucer,cup,1200
12,unrelated,tractor,cup,1200
