trial,list,set,condition,word,condition_trigger,item_trigger
1,1,25,low_frequency,bust,102,57
1,2,26,high_frequency,week,101,58
1,3,5,high_frequency,field,101,75
1,4,16,low_frequency,blade,102,47
2,1,1,high_frequency,above,101,40
2,2,2,high_frequency,won,101,51
2,3,6,high_frequency,gave,101,76
2,4,3,low_frequency,boeing,102,62
3,1,9,low_frequency,fred,102,79
3,2,33,high_frequency,those,101,66
3,3,5,low_frequency,alice,102,75
3,4,3,high_frequency,killed,101,62
4,1,1,low_frequency,allah,102,40
4,2,22,low_frequency,bent,102,54
4,3,6,low_frequency,nate,102,76
4,4,16,high_frequency,large,101,47
5,1,28,low_frequency,accent,102,60
5,2,14,low_frequency,anna,102,45
5,3,39,low_frequency,bid,102,72
5,4,12,low_frequency,breathe,102,43
6,1,21,low_frequency,archive,102,53
6,2,19,high_frequency,thanks,101,50
6,3,39,high_frequency,can,101,72
6,4,20,low_frequency,lamp,102,52
7,1,21,high_frequency,everyone,101,53
7,2,17,high_frequency,food,101,48
7,3,18,low_frequency,adopt,102,49
7,4,30,high_frequency,during,101,63
8,1,10,high_frequency,media,101,41
8,2,19,low_frequency,angles,102,50
8,3,15,low_frequency,acre,102,46
8,4,32,low_frequency,fits,102,65
9,1,36,high_frequency,think,101,69
9,2,38,low_frequency,cease,102,71
9,3,7,high_frequency,study,101,77
9,4,8,low_frequency,annie,102,78
10,1,37,high_frequency,now,101,70
10,2,22,high_frequency,line,101,54
10,3,18,high_frequency,level,101,49
10,4,40,low_frequency,mlb,102,74
11,1,37,low_frequency,ant,102,70
11,2,13,low_frequency,arise,102,44
11,3,15,high_frequency,yeah,101,46
11,4,24,high_frequency,water,101,56
12,1,28,high_frequency,number,101,60
12,2,27,high_frequency,company,101,59
12,3,35,low_frequency,anne,102,68
12,4,32,high_frequency,look,101,65
13,1,29,low_frequency,bros,102,61
13,2,27,low_frequency,arrange,102,59
13,3,31,high_frequency,better,101,64
13,4,34,low_frequency,abc,102,67
14,1,10,low_frequency,armor,102,41
14,2,26,low_frequency,bald,102,58
14,3,31,low_frequency,graves,102,64
14,4,40,high_frequency,you,101,74
15,1,36,low_frequency,cargo,102,69
15,2,17,low_frequency,beam,102,48
15,3,4,low_frequency,cheeks,102,73
15,4,24,low_frequency,freed,102,56
16,1,29,high_frequency,team,101,61
16,2,33,low_frequency,aaron,102,66
16,3,23,low_frequency,baked,102,55
16,4,8,high_frequency,front,101,78
17,1,11,low_frequency,bake,102,42
17,2,13,high_frequency,cause,101,44
17,3,7,low_frequency,alert,102,77
17,4,12,high_frequency,million,101,43
18,1,25,high_frequency,read,101,57
18,2,38,high_frequency,there,101,71
18,3,23,high_frequency,based,101,55
18,4,20,high_frequency,kind,101,52
19,1,9,high_frequency,plan,101,79
19,2,2,low_frequency,ace,102,51
19,3,35,high_frequency,very,101,68
19,4,30,low_frequency,abused,102,63
20,1,11,high_frequency,deal,101,42
20,2,14,high_frequency,idea,101,45
20,3,4,high_frequency,played,101,73
20,4,34,high_frequency,too,101,67
