trial,list,set,condition,word,condition_trigger,item_trigger
1,1,48,continuous,desk,101,82
2,1,74,continuous,return,101,111
3,1,20,continuous,hugh,101,52
4,1,17,continuous,runners,101,48
5,1,45,continuous,sword,101,79
6,1,34,continuous,insight,101,67
7,1,18,continuous,vienna,101,49
8,1,4,continuous,flown,101,73
9,1,23,continuous,puerto,101,55
10,1,30,continuous,beans,101,63
11,1,16,continuous,modes,101,47
12,1,57,continuous,mayor,101,92
13,1,32,continuous,saints,101,65
14,1,15,continuous,excuses,101,46
15,1,9,continuous,seniors,101,119
16,1,10,continuous,raids,101,41
17,1,40,continuous,mature,101,74
18,1,63,continuous,lucky,101,99
19,1,60,continuous,tech,101,96
20,1,38,continuous,khan,101,71
21,1,36,continuous,nasty,101,69
22,1,59,continuous,applied,101,94
23,1,58,continuous,smile,101,93
24,1,26,continuous,freak,101,58
25,1,44,continuous,theater,101,78
26,1,78,continuous,person,101,115
27,1,19,continuous,betting,101,50
28,1,11,continuous,snack,101,42
29,1,66,continuous,claims,101,102
30,1,6,continuous,handles,101,95
31,1,39,continuous,scope,101,72
32,1,13,continuous,dial,101,44
33,1,33,continuous,earl,101,66
34,1,31,continuous,jeremy,101,64
35,1,67,continuous,japan,101,103
36,1,69,continuous,friday,101,105
37,1,8,continuous,maya,101,117
38,1,53,continuous,contest,101,88
39,1,65,continuous,scale,101,101
40,1,62,continuous,offers,101,98
41,1,29,continuous,juan,101,61
42,1,49,continuous,charity,101,83
43,1,7,continuous,maple,101,106
44,1,47,continuous,knife,101,81
45,1,42,continuous,duties,101,76
46,1,76,continuous,watch,101,113
47,1,68,continuous,senior,101,104
48,1,46,continuous,roger,101,80
49,1,70,continuous,anti,101,107
50,1,61,continuous,links,101,97
51,1,12,continuous,crane,101,43
52,1,52,continuous,visited,101,87
53,1,79,continuous,used,101,116
54,1,56,continuous,saving,101,91
55,1,2,continuous,barber,101,51
56,1,77,continuous,talk,101,114
57,1,22,continuous,lobby,101,54
58,1,73,continuous,areas,101,110
59,1,80,continuous,with,101,118
60,1,71,continuous,below,101,108
61,1,55,continuous,index,101,90
62,1,28,continuous,titled,101,60
63,1,3,continuous,drift,101,62
64,1,21,continuous,gauge,101,53
65,1,37,continuous,utah,101,70
66,1,54,continuous,dirty,101,89
67,1,1,continuous,aligned,101,40
68,1,25,continuous,bucket,101,57
69,1,51,continuous,tested,101,86
70,1,50,continuous,poverty,101,85
71,1,14,continuous,idol,101,45
72,1,35,continuous,beaten,101,68
73,1,24,continuous,stance,101,56
74,1,75,continuous,father,101,112
75,1,41,continuous,madrid,101,75
76,1,72,continuous,entire,101,109
77,1,27,continuous,lasted,101,59
78,1,64,continuous,animal,101,100
79,1,5,continuous,felix,101,84
80,1,43,continuous,uniform,101,77
