trial,list,set,condition,word,condition_trigger,item_trigger
1,1,25,low_frequency,archive,101,57
2,1,55,high_frequency,night,102,90
3,1,57,low_frequency,blonde,101,92
4,1,22,low_frequency,buck,101,54
5,1,4,high_frequency,position,102,73
6,1,1,high_frequency,above,102,40
7,1,7,high_frequency,issue,102,106
8,1,33,low_frequency,breach,101,66
9,1,74,high_frequency,also,102,111
10,1,15,high_frequency,former,102,46
11,1,69,low_frequency,accent,101,105
12,1,80,low_frequency,mlb,101,118
13,1,77,low_frequency,clip,101,114
14,1,18,low_frequency,bug,101,49
15,1,55,low_frequency,cared,101,90
16,1,18,high_frequency,act,102,49
17,1,47,low_frequency,aired,101,81
18,1,3,high_frequency,won,102,62
19,1,30,high_frequency,else,102,63
20,1,58,low_frequency,ego,101,93
21,1,73,low_frequency,heel,101,110
22,1,59,high_frequency,next,102,94
23,1,44,high_frequency,says,102,78
24,1,17,low_frequency,abc,101,48
25,1,27,low_frequency,alley,101,59
26,1,44,low_frequency,lime,101,78
27,1,71,high_frequency,want,102,108
28,1,6,low_frequency,chan,101,95
29,1,49,high_frequency,full,102,83
30,1,78,low_frequency,ios,101,115
31,1,12,low_frequency,abandon,101,43
32,1,59,low_frequency,anne,101,94
33,1,32,low_frequency,arrange,101,65
34,1,23,high_frequency,light,102,55
35,1,34,low_frequency,dip,101,67
36,1,76,low_frequency,ian,101,113
37,1,79,low_frequency,clue,101,116
38,1,53,high_frequency,however,102,88
39,1,9,low_frequency,cab,101,119
40,1,16,low_frequency,beg,101,47
41,1,26,high_frequency,months,102,58
42,1,54,low_frequency,atm,101,89
43,1,31,low_frequency,junk,101,64
44,1,56,high_frequency,second,102,91
45,1,72,high_frequency,know,102,109
46,1,65,high_frequency,through,102,101
47,1,41,high_frequency,war,102,75
48,1,66,low_frequency,bid,101,102
49,1,13,low_frequency,arrives,101,44
50,1,1,low_frequency,allah,101,40
51,1,28,low_frequency,bra,101,60
52,1,38,low_frequency,allies,101,71
53,1,32,high_frequency,several,102,65
54,1,2,high_frequency,lead,102,51
55,1,42,low_frequency,acute,101,76
56,1,21,low_frequency,ali,101,53
57,1,60,low_frequency,lease,101,96
58,1,47,high_frequency,power,102,81
59,1,2,low_frequency,bass,101,51
60,1,67,low_frequency,flu,101,103
61,1,6,high_frequency,site,102,95
62,1,67,high_frequency,off,102,103
63,1,41,low_frequency,doc,101,75
64,1,45,low_frequency,settle,101,79
65,1,21,high_frequency,age,102,53
66,1,10,high_frequency,road,102,41
67,1,35,high_frequency,guys,102,68
68,1,27,high_frequency,close,102,59
69,1,14,high_frequency,example,102,45
70,1,38,high_frequency,course,102,71
71,1,64,low_frequency,fry,101,100
72,1,74,low_frequency,eden,101,111
73,1,48,low_frequency,lace,101,82
74,1,66,high_frequency,got,102,102
75,1,70,low_frequency,admin,101,107
76,1,36,high_frequency,ago,102,69
77,1,30,low_frequency,arab,101,63
78,1,78,high_frequency,can,102,115
79,1,17,high_frequency,non,102,48
80,1,15,low_frequency,abused,101,46
81,1,40,high_frequency,story,102,74
82,1,16,high_frequency,art,102,47
83,1,69,high_frequency,really,102,105
84,1,37,high_frequency,early,102,70
85,1,52,high_frequency,group,102,87
86,1,26,low_frequency,allied,101,58
87,1,76,high_frequency,had,102,113
88,1,39,high_frequency,within,102,72
89,1,51,high_frequency,care,102,86
90,1,68,high_frequency,right,102,104
91,1,33,high_frequency,coming,102,66
92,1,31,high_frequency,fuck,102,64
93,1,22,high_frequency,soon,102,54
94,1,80,high_frequency,you,102,118
95,1,37,low_frequency,bryan,101,70
96,1,63,low_frequency,boil,101,99
97,1,39,low_frequency,abroad,101,72
98,1,62,high_frequency,find,102,98
99,1,28,high_frequency,air,102,60
100,1,62,low_frequency,bend,101,98
101,1,58,high_frequency,end,102,93
102,1,73,high_frequency,good,102,110
103,1,48,high_frequency,hard,102,82
104,1,43,low_frequency,baptist,101,77
105,1,35,low_frequency,bias,101,68
106,1,29,low_frequency,ranking,101,61
107,1,75,high_frequency,been,102,112
108,1,49,low_frequency,pigs,101,83
109,1,64,high_frequency,use,102,100
110,1,10,low_frequency,dial,101,41
111,1,20,high_frequency,further,102,52
112,1,50,high_frequency,already,102,85
113,1,61,high_frequency,help,102,97
114,1,43,high_frequency,american,102,77
115,1,36,low_frequency,bro,101,69
116,1,54,high_frequency,few,102,89
117,1,12,high_frequency,students,102,43
118,1,79,high_frequency,from,102,116
119,1,29,high_frequency,playing,102,61
120,1,40,low_frequency,basin,101,74
121,1,56,low_frequency,adjust,101,91
122,1,11,low_frequency,armor,101,42
123,1,46,low_frequency,chen,101,80
124,1,42,high_frequency,using,102,76
125,1,25,high_frequency,special,102,57
126,1,75,low_frequency,kent,101,112
127,1,77,high_frequency,when,102,114
128,1,24,low_frequency,blade,101,56
129,1,20,low_frequency,accepts,101,52
130,1,4,low_frequency,adverse,101,73
131,1,19,high_frequency,major,102,50
132,1,72,low_frequency,alot,101,109
133,1,24,high_frequency,taken,102,56
134,1,8,low_frequency,betty,101,117
135,1,71,low_frequency,chin,101,108
136,1,46,high_frequency,head,102,80
137,1,50,low_frequency,admiral,101,85
138,1,60,high_frequency,thing,102,96
139,1,13,high_frequency,process,102,44
140,1,34,high_frequency,pay,102,67
141,1,70,high_frequency,where,102,107
142,1,9,high_frequency,cut,102,119
143,1,5,low_frequency,bald,101,84
144,1,5,high_frequency,goes,102,84
145,1,3,low_frequency,ace,101,62
146,1,23,low_frequency,races,101,55
147,1,11,high_frequency,clear,102,42
148,1,45,high_frequency,though,102,79
149,1,51,low_frequency,cart,101,86
150,1,19,low_frequency,adopt,101,50
151,1,68,low_frequency,rains,101,104
152,1,57,high_frequency,please,102,92
153,1,61,low_frequency,crop,101,97
154,1,14,low_frequency,absence,101,45
155,1,7,low_frequency,ninja,101,106
156,1,8,high_frequency,shows,102,117
157,1,63,high_frequency,both,102,99
158,1,65,low_frequency,attract,101,101
159,1,53,low_frequency,apology,101,88
160,1,52,low_frequency,array,101,87
