trial,list,set,condition,prime,target,soa_ms,iti_ms,condition_trigger,item_trigger
1,1,11,related,pepper,salt,250,670,101,42
1,2,6,unrelated,pencil,king,1200,741,102,48
2,1,9,unrelated,river,black,1200,770,102,51
2,2,2,unrelated,cloud,hand,60,754,102,44
3,1,5,unrelated,table,cat,250,621,102,47
3,2,8,unrelated,paper,hot,250,718,102,50
4,1,11,unrelated,engine,salt,250,550,102,42
4,2,2,related,foot,hand,60,563,101,44
5,1,5,related,dog,cat,250,800,101,47
5,2,10,related,star,moon,60,652,101,41
6,1,9,related,white,black,1200,560,101,51
6,2,12,related,night,day,1200,793,101,43
7,1,3,unrelated,lemon,north,250,544,102,45
7,2,4,unrelated,tractor,cup,1200,740,102,46
8,1,3,related,south,north,250,518,101,45
8,2,6,related,queen,king,1200,791,101,48
9,1,1,unrelated,window,doctor,60,643,102,40
9,2,4,related,saucer,cup,1200,578,101,46
10,1,7,unrelated,planet,bread,60,594,102,49
10,2,12,unrelated,carpet,day,1200,469,102,43
11,1,1,related,nurse,doctor,60,750,101,40
11,2,8,related,cold,hot,250,778,101,50
12,1,7,related,butter,bread,60,625,101,49
12,2,10,unrelated,chair,moon,60,518,102,41
