trial,list,word,condition,set,length,frequency,n_density,old20,target_word_trigger,condition_trigger
1,1,cese,low_frequency,24,4,3.87,1,1.9,40,101
2,1,sistema,high_frequency,19,7,5.56,0,2.95,41,102
3,1,esos,high_frequency,17,4,5.5,2,1.65,42,102
4,1,camina,low_frequency,15,6,3.99,3,1.8,43,101
5,1,derechos,high_frequency,9,8,5.31,0,2.75,44,102
6,1,respecto,high_frequency,6,8,5.26,1,2.6,45,102
7,1,alan,low_frequency,16,4,4.18,4,1.75,46,101
8,1,difícil,high_frequency,4,7,5.24,1,3.55,47,102
9,1,acabaron,low_frequency,9,8,3.89,0,2.75,48,101
10,1,ano,low_frequency,25,3,3.83,6,1.35,49,101
11,1,beca,low_frequency,1,4,4.13,3,1.8,50,101
12,1,estoy,high_frequency,26,5,5.89,1,1.9,51,102
13,1,estamos,high_frequency,18,7,5.53,2,2.05,52,102
14,1,aguilar,low_frequency,19,7,3.95,0,2.95,53,101
15,1,sociedad,high_frequency,13,8,5.4,0,3.15,54,102
16,1,abiertos,low_frequency,6,8,4.28,1,2.6,55,101
17,1,especial,high_frequency,7,8,5.28,1,2.85,56,102
18,1,haya,high_frequency,10,4,5.34,4,1.65,57,102
19,1,atacan,low_frequency,14,6,3.93,1,2.45,58,101
20,1,alegro,low_frequency,3,6,4.2,2,2.45,59,101
21,1,las,high_frequency,30,3,6.99,8,1.4,60,102
22,1,ancho,low_frequency,26,5,4.36,1,1.9,61,101
23,1,llegar,high_frequency,12,6,5.38,4,1.65,62,102
24,1,fueron,high_frequency,20,6,5.61,1,2.3,63,102
25,1,che,low_frequency,29,3,4.4,3,1.7,64,101
26,1,piensas,low_frequency,18,7,4.38,2,2.05,65,101
27,1,aceptada,low_frequency,7,8,3.83,1,2.85,66,101
28,1,justicia,high_frequency,2,8,5.21,0,3.2,67,102
29,1,crece,low_frequency,23,5,4.3,2,1.7,68,101
30,1,nacional,high_frequency,22,8,5.69,2,3.1,69,102
31,1,ando,low_frequency,17,4,4.1,2,1.65,70,101
32,1,salir,high_frequency,11,5,5.36,2,1.9,71,102
33,1,cap,low_frequency,27,3,4.0,5,1.6,72,101
34,1,bien,high_frequency,28,4,6.11,2,1.85,73,102
35,1,última,high_frequency,3,6,5.22,2,2.45,74,102
36,1,abra,low_frequency,28,4,3.94,2,1.85,75,101
37,1,estar,high_frequency,23,5,5.74,2,1.7,76,102
38,1,influir,low_frequency,4,7,3.85,1,3.45,77,101
39,1,allá,high_frequency,1,4,5.2,3,1.8,78,102
40,1,pesado,low_frequency,12,6,4.22,4,1.65,79,101
41,1,sea,high_frequency,25,3,5.82,9,1.1,80,102
42,1,entonces,high_frequency,21,8,5.65,0,3.75,81,102
43,1,amigos,high_frequency,14,6,5.43,1,2.45,82,102
44,1,abu,low_frequency,5,3,3.84,1,1.9,83,101
45,1,ante,high_frequency,16,4,5.48,4,1.75,84,102
46,1,puedes,high_frequency,15,6,5.44,3,1.8,85,102
47,1,país,high_frequency,24,4,5.78,1,1.9,86,102
48,1,advierte,low_frequency,21,8,4.12,0,3.55,87,101
49,1,cancer,low_frequency,20,6,3.81,1,2.3,88,101
50,1,fue,high_frequency,29,3,6.22,3,1.7,89,102
51,1,ajena,low_frequency,11,5,4.02,2,1.9,90,101
52,1,medios,high_frequency,8,6,5.29,1,1.9,91,102
53,1,día,high_frequency,27,3,5.96,5,1.6,92,102
54,1,alemanes,low_frequency,2,8,4.33,0,3.2,93,101
55,1,abandona,low_frequency,22,8,3.95,2,3.15,94,101
56,1,atento,low_frequency,8,6,4.0,1,1.9,95,101
57,1,mac,low_frequency,30,3,4.19,6,1.5,96,101
58,1,pila,low_frequency,10,4,4.04,4,1.65,97,101
59,1,etc,high_frequency,5,3,5.25,1,1.9,98,102
60,1,analizar,low_frequency,13,8,4.35,0,3.15,99,101
