condition,reference,dimension,cohens_d,d_ci_low,d_ci_high,tost_p,equivalent
HF_smallN,HF_largeN,length,-0.206,-0.77,0.358,0.192,False
HF_smallN,HF_largeN,frequency,-0.108,-0.672,0.456,0.1238,False
HF_smallN,HF_largeN,n_density,3.19,2.626,3.754,1.0,False
HF_smallN,HF_largeN,old20,-5.756,-6.32,-5.192,1.0,False
LF_largeN,HF_largeN,length,0.099,-0.465,0.663,0.1186,False
LF_largeN,HF_largeN,frequency,4.713,4.15,5.277,1.0,False
LF_largeN,HF_largeN,n_density,0.103,-0.461,0.666,0.1208,False
LF_largeN,HF_largeN,old20,0.104,-0.459,0.668,0.1218,False
LF_smallN,HF_largeN,length,0.099,-0.465,0.663,0.1186,False
LF_smallN,HF_largeN,frequency,5.185,4.621,5.748,1.0,False
LF_smallN,HF_largeN,n_density,3.289,2.725,3.852,1.0,False
LF_smallN,HF_largeN,old20,-5.914,-6.478,-5.351,1.0,False
