word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
arab,4.39,english,wordfreq,3,1.75,1346,4,4.39,low_frequency,30,1,1
night,5.61,english,wordfreq,8,1.4,18186,5,5.61,high_frequency,55,1,2
know,6.1,english,wordfreq,5,1.6,14942,4,6.1,high_frequency,72,1,3
from,6.63,english,wordfreq,3,1.75,10893,4,6.63,high_frequency,79,1,4
pay,5.4,english,wordfreq,34,1.0,19545,3,5.4,high_frequency,34,1,5
road,5.24,english,wordfreq,5,1.55,22855,4,5.24,high_frequency,10,1,6
though,5.5,english,wordfreq,1,1.75,27039,6,5.5,high_frequency,45,1,7
major,5.3,english,wordfreq,2,1.85,16201,5,5.3,high_frequency,19,1,8
abused,4.0,english,wordfreq,3,1.85,101,6,4.0,low_frequency,15,1,9
help,5.75,english,wordfreq,7,1.55,12458,4,5.75,high_frequency,61,1,10
been,6.27,english,wordfreq,14,1.2,2437,4,6.27,high_frequency,75,1,11
arrange,4.0,english,wordfreq,0,2.5,1477,7,4.0,low_frequency,32,1,12
can,6.46,english,wordfreq,32,1.0,3911,3,6.46,high_frequency,78,1,13
pigs,3.99,english,wordfreq,12,1.35,20018,4,3.99,low_frequency,49,1,14
several,5.39,english,wordfreq,0,2.5,23999,7,5.39,high_frequency,32,1,15
attract,4.2,english,wordfreq,0,2.45,1786,7,4.2,low_frequency,65,1,16
accent,4.14,english,wordfreq,2,1.85,125,6,4.14,low_frequency,69,1,17
bass,4.28,english,wordfreq,14,1.05,2291,4,4.28,low_frequency,2,1,18
heel,3.84,english,wordfreq,7,1.4,12419,4,3.84,low_frequency,73,1,19
basin,4.08,english,wordfreq,3,1.7,2283,5,4.08,low_frequency,40,1,20
care,5.56,english,wordfreq,29,1.0,4047,4,5.56,high_frequency,51,1,21
ego,4.02,english,wordfreq,8,1.3,8649,3,4.02,low_frequency,58,1,22
ninja,3.87,english,wordfreq,0,2.05,18217,5,3.87,low_frequency,7,1,23
archive,3.98,english,wordfreq,0,2.5,1386,7,3.98,low_frequency,25,1,24
cart,3.98,english,wordfreq,23,1.0,4117,4,3.98,low_frequency,51,1,25
anne,4.32,english,wordfreq,4,1.65,1083,4,4.32,low_frequency,59,1,26
clear,5.25,english,wordfreq,1,1.8,4913,5,5.25,high_frequency,11,1,27
full,5.54,english,wordfreq,12,1.35,10960,4,5.54,high_frequency,49,1,28
junk,4.03,english,wordfreq,9,1.5,14618,4,4.03,low_frequency,31,1,29
absence,4.34,english,wordfreq,0,2.7,75,7,4.34,low_frequency,14,1,30
chan,4.0,english,wordfreq,14,1.0,4434,4,4.0,low_frequency,6,1,31
baptist,3.86,english,wordfreq,1,2.5,2183,7,3.86,low_frequency,43,1,32
act,5.3,english,wordfreq,19,1.0,252,3,5.3,high_frequency,18,1,33
crop,4.15,english,wordfreq,7,1.55,6438,4,4.15,low_frequency,61,1,34
when,6.37,english,wordfreq,6,1.6,29341,4,6.37,high_frequency,77,1,35
former,5.28,english,wordfreq,3,1.85,10665,6,5.28,high_frequency,15,1,36
clip,4.26,english,wordfreq,6,1.6,4981,4,4.26,low_frequency,77,1,37
bias,4.18,english,wordfreq,5,1.65,2649,4,4.18,low_frequency,35,1,38
process,5.26,english,wordfreq,1,2.2,20891,7,5.26,high_frequency,13,1,39
settle,4.37,english,wordfreq,1,1.75,23981,6,4.37,low_frequency,45,1,40
further,5.31,english,wordfreq,1,2.65,11015,7,5.31,high_frequency,20,1,41
lead,5.2,english,wordfreq,14,1.05,15268,4,5.2,high_frequency,2,1,42
chen,3.96,english,wordfreq,12,1.2,4586,4,3.96,low_frequency,46,1,43
hard,5.53,english,wordfreq,13,1.0,12180,4,5.53,high_frequency,48,1,44
non,5.29,english,wordfreq,23,1.0,18281,3,5.29,high_frequency,17,1,45
bald,3.83,english,wordfreq,7,1.55,2104,4,3.83,low_frequency,5,1,46
armor,3.97,english,wordfreq,1,1.8,1459,5,3.97,low_frequency,11,1,47
clue,4.18,english,wordfreq,3,1.75,5037,4,4.18,low_frequency,79,1,48
group,5.57,english,wordfreq,0,1.95,11850,5,5.57,high_frequency,52,1,49
dial,3.93,english,wordfreq,5,1.55,7487,4,3.93,low_frequency,10,1,50
alot,3.93,english,wordfreq,5,1.6,817,4,3.93,low_frequency,72,1,51
acute,4.0,english,wordfreq,0,1.95,282,5,4.0,low_frequency,42,1,52
site,5.22,english,wordfreq,14,1.0,24537,4,5.22,high_frequency,6,1,53
within,5.44,english,wordfreq,0,2.65,29579,6,5.44,high_frequency,39,1,54
both,5.79,english,wordfreq,7,1.5,3143,4,5.79,high_frequency,63,1,55
lease,4.17,english,wordfreq,5,1.55,15306,5,4.17,low_frequency,60,1,56
second,5.63,english,wordfreq,0,2.55,23736,6,5.63,high_frequency,56,1,57
chin,4.0,english,wordfreq,11,1.2,4659,4,4.0,low_frequency,71,1,58
allah,3.89,english,wordfreq,1,1.95,755,5,3.89,low_frequency,1,1,59
alley,3.87,english,wordfreq,2,1.7,772,5,3.87,low_frequency,27,1,60
want,6.04,english,wordfreq,11,1.2,29053,4,6.04,high_frequency,71,1,61
really,5.97,english,wordfreq,2,1.85,21758,6,5.97,high_frequency,69,1,62
bryan,3.98,english,wordfreq,2,1.7,3514,5,3.98,low_frequency,37,1,63
buck,4.01,english,wordfreq,13,1.2,3536,4,4.01,low_frequency,22,1,64
rains,3.84,english,wordfreq,8,1.35,21561,5,3.84,low_frequency,68,1,65
blonde,4.04,english,wordfreq,0,1.85,2899,6,4.04,low_frequency,57,1,66
kent,4.17,english,wordfreq,14,1.2,14763,4,4.17,low_frequency,75,1,67
months,5.35,english,wordfreq,1,1.85,17463,6,5.35,high_frequency,26,1,68
