word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,bigram_freq,condition,set,list,trial
coached,3.58,english,wordfreq,2,2.15,5063,7,2,3.58,0.007084111,low_frequency,25,1,1
back,6.04,english,wordfreq,16,1,2017,4,1,6.04,0.003841359,high_frequency,55,1,2
aide,3.69,english,wordfreq,7,1.25,597,4,2,3.69,0.005220355,low_frequency,57,1,3
onset,3.72,english,wordfreq,0,2,18739,5,2,3.72,0.009016267,low_frequency,22,1,4
total,5.21,english,wordfreq,1,1.9,27365,5,2,5.21,0.006597974,high_frequency,4,1,5
above,5.2,english,wordfreq,1,1.95,65,5,3,5.2,0.003524153,high_frequency,1,1,6
space,5.23,english,wordfreq,3,1.6,25107,5,2,5.23,0.004460621,high_frequency,7,1,7
tactics,4.17,english,wordfreq,0,2.75,26505,7,2,4.17,0.006800416,low_frequency,33,1,8
works,5.29,english,wordfreq,3,1.8,29670,5,1,5.29,0.003360271,high_frequency,15,1,9
masks,3.88,english,wordfreq,2,1.75,16500,5,1,3.88,0.003447032,low_frequency,18,1,10
jill,3.81,english,wordfreq,11,1.4,14445,4,1,3.81,0.003846867,low_frequency,55,1,11
third,5.32,english,wordfreq,0,1.95,27010,5,1,5.32,0.003451163,high_frequency,18,1,12
browns,3.86,english,wordfreq,2,1.8,3485,6,1,3.86,0.004004781,low_frequency,47,1,13
include,5.21,english,wordfreq,0,2.65,13445,7,3,5.21,0.007331082,high_frequency,3,1,14
post,5.43,english,wordfreq,11,1.2,20496,4,1,5.43,0.006266996,high_frequency,30,1,15
roots,4.34,english,wordfreq,4,1.7,23006,5,1,4.34,0.004537742,low_frequency,58,1,16
like,6.41,english,wordfreq,13,1.1,15577,4,2,6.41,0.004271032,high_frequency,59,1,17
free,5.63,english,wordfreq,8,1.4,10816,4,1,5.63,0.006858257,high_frequency,44,1,18
plague,3.89,english,wordfreq,2,2.15,20129,6,2,3.89,0.003118992,low_frequency,17,1,19
dams,3.52,english,wordfreq,10,1.2,6757,4,1,3.52,0.002423802,low_frequency,27,1,20
roar,3.7,english,wordfreq,5,1.75,22866,4,1,3.7,0.006874783,low_frequency,44,1,21
jelly,3.77,english,wordfreq,5,1.75,14387,5,2,3.77,0.004478525,low_frequency,6,1,22
between,5.77,english,wordfreq,0,3.2,2628,7,2,5.77,0.004476688,high_frequency,49,1,23
blossom,3.62,english,wordfreq,0,2.8,2916,7,2,3.62,0.003876247,low_frequency,12,1,24
dose,4.2,english,wordfreq,13,1.2,8137,4,2,4.2,0.00428205,low_frequency,59,1,25
zelda,3.55,english,wordfreq,0,2.15,29956,5,2,3.55,0.002883773,low_frequency,32,1,26
nice,5.37,english,wordfreq,11,1.2,18147,4,2,5.37,0.006230272,high_frequency,23,1,27
condom,3.6,english,wordfreq,2,1.9,5583,6,2,3.6,0.00772091,low_frequency,34,1,28
right,5.96,english,wordfreq,8,1.35,22775,5,1,5.96,0.003992387,high_frequency,53,1,29
stiff,3.9,english,wordfreq,3,1.8,25668,5,1,3.9,0.007776823,low_frequency,9,1,30
mercy,4.25,english,wordfreq,5,1.75,16880,5,2,4.25,0.007482111,low_frequency,16,1,31
started,5.39,english,wordfreq,3,1.7,25539,7,2,5.39,0.010811625,high_frequency,26,1,32
drafts,3.58,english,wordfreq,2,1.85,8205,6,1,3.58,0.003643415,low_frequency,54,1,33
emma,4.23,english,wordfreq,2,1.8,8864,4,2,4.23,0.003923988,low_frequency,31,1,34
